p,ford,fI,fII
100000081,2268,262,116
100000393,3654,461,148
100000561,2976,344,152
100000609,2724,303,151
100000801,2556,291,135
100000921,2616,291,145
100000969,2406,262,139
100001329,2328,261,127
100001449,2976,341,155
100001569,2616,318,118
100001689,2718,321,132
100001761,2952,344,148
100001809,3462,419,158
100001929,2808,312,156
100002169,2472,306,106
100002289,2442,272,135
100002337,2712,326,126
100002673,2832,347,125
100002769,3360,382,178
100002937,3024,355,149
100002961,1968,228,100
100003153,3996,475,191
100003273,2616,333,103
100003417,3678,456,157
100003753,3978,511,152
100003777,3318,362,191
100003801,2442,271,136
100003873,3426,417,154
100004017,2604,291,143
100004041,2436,276,130
100004089,2730,290,165
100004137,3396,401,165
100004449,2772,325,137
100004473,3216,371,165
100004521,2598,276,157
100004833,2862,345,132
100004857,3648,448,160
100004881,2172,225,137
100004929,2832,341,131
100005001,2592,306,126
100005097,3966,465,196
100005121,2988,343,155
100005193,3084,366,148
100005313,3204,385,149
100005457,3756,437,189
100005673,3552,425,167
100005889,2856,314,162
100006033,3564,420,174
100006129,2514,291,128
100006273,3552,433,159
100006561,2226,272,99
100006609,2958,360,133
100006729,2490,280,135
100007137,2970,354,141
100007233,2880,355,125
100007329,3276,373,173
100007353,3132,372,150
100007377,2988,359,139
100007833,3150,388,137
100007857,2664,297,147
100008169,2250,259,116
100008217,3282,381,166
100008241,2628,312,126
100008313,3726,444,177
100008409,3156,360,166
100008673,3108,365,153
100008889,3354,408,151
100009009,2178,251,112
100009057,3006,359,142
100009153,3192,394,138
100009201,2958,358,135
100009297,3426,411,160
100009321,2112,240,112
100009729,2502,286,131
100009753,2784,336,128
100009849,1824,201,103
100009969,4128,483,205
100010017,2904,351,133
100010161,2316,277,109
100010257,3816,456,180
100010329,2568,293,135
100010353,2460,269,141
100010401,2052,229,113
100010497,3396,377,189
100010857,3468,423,155
100011073,3522,425,162
100011217,3162,385,142
100011361,2340,279,111
100011841,2616,303,133
100011913,2874,352,127
100012057,3372,397,165
100012153,4560,556,204
100012273,2100,241,109
100012609,2826,310,161
100012681,2688,298,150
100012753,2826,329,142
100012777,2688,330,118
100012873,3534,444,145
100013113,2874,336,143
100013281,2274,255,124
100013449,2532,278,144
100013497,3510,415,170
100013593,2724,332,122
100013761,1944,224,100
100014193,3900,466,184
100014289,2484,289,125
100014361,3312,412,140
100014433,2766,332,129
100014697,3570,432,163
100015009,3066,356,155
100015129,2790,302,163
100015177,3552,405,187
100015273,2898,362,121
100015537,3360,406,154
100015681,3270,387,158
100015801,2724,320,134
100015873,2964,359,135
100015897,2496,294,122
100015969,1932,224,98
100016233,3654,447,162
100016377,3540,421,169
100016473,3438,412,161
100016569,3264,377,167
100016641,3054,374,135
100016689,3288,377,171
100017193,3582,406,191
100017217,3132,375,147
100017553,2538,311,112
100017793,3114,371,148
100018057,3150,384,141
100018081,2652,330,112
100018273,3234,397,142
100018417,3126,348,173
100018441,3240,396,144
100018561,2646,283,158
100018729,3174,373,156
100018753,3144,371,153
100018777,3426,404,167
100018801,1692,191,91
100018921,2334,268,121
100018993,3876,454,192
100019089,1728,200,88
100019137,3318,390,163
100019329,2430,272,133
100019761,2232,273,99
100019929,2328,262,126
100019977,3348,394,164
100020121,2472,279,133
100020337,3096,384,132
100020457,3132,381,141
100020649,2244,272,102
100020793,3228,374,164
100020889,2892,336,146
100021153,2640,315,125
100021177,2964,336,158
100021297,3366,413,148
100021393,2970,355,140
100021657,3000,380,120
100021729,2964,350,144
100021777,2610,284,151
100021993,3450,406,169
100022113,3168,399,129
100022233,2874,340,139
100022401,2484,294,120
100022449,3132,376,146
100022497,3102,382,135
100022521,2430,289,116
100022569,3234,367,172
100022977,3822,449,188
100023337,2988,373,125
100023673,2610,315,120
100023793,2382,268,129
100023817,3978,501,162
100023841,2262,256,121
100024081,2520,282,138
100024513,3198,391,142
100024609,2076,238,108
100024849,2604,316,118
100024921,3072,342,170
100024993,2700,315,135
100025017,2682,315,132
100025521,2442,293,114
100025593,3792,454,178
100025617,4704,551,233
100025641,2268,249,129
100025833,3714,452,167
100026169,2928,338,150
100026337,2952,360,132
100026457,3258,410,133
100026673,3732,429,193
100026937,3366,412,149
100027033,3600,454,146
100027513,3186,377,154
100027537,3126,374,147
100027657,2892,367,115
100028161,2748,296,162
100028209,2814,347,122
100028281,3564,397,197
100028329,2736,320,136
100028377,2778,335,128
100028497,4020,480,190
100028641,3678,412,201
100028689,2892,329,153
100028713,3408,403,165
100029121,2574,286,143
100029169,2466,284,127
100029337,3450,420,155
100029577,4026,496,175
100029673,2952,335,157
100029697,2850,329,146
100030081,2532,302,120
100030297,3780,426,204
100030321,2514,281,138
100030561,1854,220,89
100030633,4608,616,152
100030681,2550,297,128
100030753,2526,301,120
100030897,2796,332,134
100030969,3318,383,170
100031089,2526,284,137
100031377,3384,403,161
100031809,3144,411,113
100032073,3078,381,132
100032337,3264,379,165
100032409,2610,305,130
100032433,3246,389,152
100032817,3228,387,151
100033009,4284,511,203
100033057,2874,330,149
100033273,3798,439,194
100033369,3402,394,173
100033561,1890,205,110
100033753,2814,319,150
100033849,2724,327,127
100033873,3108,357,161
100033897,4122,489,198
100034113,2694,324,125
100034281,2004,245,89
100034401,2514,294,125
100034689,2844,334,140
100034761,2622,315,122
100034929,2262,247,130
100035097,3498,427,156
100035193,4314,510,209
100035217,3144,376,148
100035241,3270,372,173
100035289,2112,244,108
100035337,3438,415,158
100035697,3666,448,163
100035841,2490,276,139
100035889,2826,330,141
100035961,2730,304,151
100036033,3090,368,147
100036129,3138,389,134
100036369,2682,310,137
100036513,2556,288,138
100036609,2790,307,158
100036873,2802,328,139
100037449,2724,311,143
100037473,2892,335,147
100037569,2022,210,127
100037593,3972,490,172
100037689,3210,366,169
100037857,3876,489,157
100037881,2874,321,158
100037929,3276,364,182
100038049,2508,272,146
100038193,3228,406,132
100038241,2130,239,116
100038409,1998,241,92
100038481,1530,176,79
100038577,2502,301,116
100038649,2160,260,100
100038817,2604,316,118
100039081,2772,316,146
100039129,2136,258,98
100039321,2658,297,146
100039393,3084,361,153
100039417,3552,423,169
100039609,3000,357,143
100039969,2658,288,155
100040113,2970,361,134
100040233,3882,458,189
100040449,2886,347,134
100040497,4482,536,211
100040569,2568,294,134
100040641,2292,268,114
100040713,5694,724,225
100040929,2340,251,139
100040953,2688,305,143
100041553,3270,375,170
100041649,2598,293,140
100041913,3714,432,187
100041961,3072,367,145
100042057,4044,507,167
100042153,2496,292,124
100042417,3312,382,170
100042513,3264,373,171
100042633,3156,388,138
100042681,2490,278,137
100042729,3132,379,143
100043497,3156,380,146
100043617,3366,415,146
100043689,2622,297,140
100043737,2898,356,127
100043761,2808,320,148
100043809,3228,372,166
100044001,2250,250,125
100044073,2742,324,133
100044169,2046,215,126
100044193,3372,403,159
100044313,3414,400,169
100044361,2730,314,141
100044433,3120,359,161
100044649,2754,324,135
100044793,3378,404,159
100044817,3378,405,158
100044913,3708,470,148
100045249,3408,396,172
100045369,2664,305,139
100045417,3324,397,157
100045513,3612,421,181
100045537,2994,359,140
100045873,2586,296,135
100045921,2802,335,132
100046017,3516,421,165
100046137,2724,313,141
100046329,2742,342,115
100046473,3204,375,159
100046593,2982,355,142
100046833,3480,424,156
100046857,2376,281,115
100046953,3804,460,174
100047097,3072,386,126
100047169,2562,294,133
100047289,2676,306,140
100047313,2976,369,127
100047553,3054,363,146
100047697,3216,388,148
100047793,3222,399,138
100047841,2430,276,129
100048369,2310,273,112
100048489,2724,305,149
100048513,3270,385,160
100048561,3180,357,173
100048609,2364,274,120
100048657,2994,343,156
100048801,2874,361,118
100049473,3384,400,164
100049713,2520,296,124
100049857,3012,382,120
100050001,2718,305,148
100050217,3450,405,170
100050649,3120,369,151
100050673,2772,330,132
100050721,1620,179,91
100050817,2802,351,116
100050889,2100,238,112
100050913,2862,347,130
100051177,3648,448,160
100051417,2724,323,131
100051657,3090,381,134
100051729,2586,298,133
100051801,3264,389,155
100052209,2094,223,126
100052353,3096,372,144
100052569,2016,238,98
100052857,2778,336,127
100053073,2922,354,133
100053169,3708,412,206
100053193,3462,415,162
100053409,2016,223,113
100053433,2778,355,108
100053673,3318,427,126
100053769,5832,663,309
100053913,3132,381,141
100053937,3078,380,133
100054033,3486,410,171
100054177,2934,339,150
100054441,2544,287,137
100054489,4092,487,195
100054561,3000,345,155
100054729,2328,271,117
100054849,2724,338,116
100054873,2562,300,127
100055257,2670,319,126
100056217,3888,437,211
100056241,2784,310,154
100056289,2538,288,135
100056529,3006,342,159
100056553,3072,359,153
100056673,3366,432,129
100056961,2490,298,117
100057033,3786,476,155
100057129,2598,299,134
100057297,3312,392,160
100057369,2778,334,129
100057417,4044,481,193
100057609,2442,301,106
100057681,2526,291,130
100057729,2604,311,123
100057777,2964,353,141
100057849,2766,330,131
100057897,2820,353,117
100058017,3606,430,171
100058113,2052,254,88
100058137,2664,315,129
100058281,1980,231,99
100058401,2082,244,103
100058473,2328,268,120
100058641,2100,244,106
100058857,3936,457,199
100059049,3042,366,141
100059097,3150,380,145
100059121,3438,420,153
100059217,3438,402,171
100059481,3174,349,180
100059769,2448,283,125
100059937,4476,524,222
100060201,3024,358,146
100060273,2742,334,123
100060393,3108,352,166
100060561,2460,306,104
100060921,1980,225,105
100061089,3126,374,147
100061113,3510,438,147
100061233,3204,385,149
100061257,2952,348,144
100061329,1866,216,95
100061593,4386,522,209
100061641,2550,277,148
100061713,3582,403,194
100061761,2328,289,99
100062169,2466,292,119
100062241,3006,371,130
100062409,2856,341,135
100062481,2886,341,140
100062601,2598,297,136
100062769,2286,269,112
100063393,2940,380,110
100063489,2634,313,126
100063969,2796,323,143
100064017,3018,360,143
100064113,3360,397,163
100064161,2316,282,104
100064257,4596,533,233
100064473,2952,362,130
100064593,3018,352,151
100064857,2928,353,135
100064929,2796,325,141
100064977,2622,318,119
100065409,3594,413,186
100065481,2802,303,164
100065697,3024,360,144
100065793,3030,369,136
100065817,3756,441,185
100065841,2808,328,140
100066009,3000,356,144
100066081,2226,259,112
100066129,2436,287,119
100066177,2748,326,132
100066249,3030,355,150
100066297,3324,419,135
100066321,2736,312,144
100066441,3336,379,177
100066489,3234,342,197
100066753,3900,474,176
100066873,2640,317,123
100066969,2778,328,135
100067017,2784,327,137
100067137,2760,329,131
100067353,3510,449,136
100067377,3432,407,165
100067449,2286,247,134
100067497,3732,453,169
100067521,2316,269,117
100067689,2628,320,118
100067713,3228,392,146
100067809,2700,308,142
100067857,3270,400,145
100067881,1854,203,106
100067977,3876,463,183
100068049,2802,323,144
100068289,2748,315,143
100068337,3300,392,158
100068361,2826,327,144
100068457,3072,384,128
100068481,2712,295,157
100068601,3402,421,146
100068769,2928,338,150
100068889,2736,329,127
100069009,2940,351,139
100069129,3240,388,152
100069153,3546,424,167
100069273,3450,410,165
100069441,2766,327,134
100069513,2724,318,136
100069657,3144,399,125
100069681,3780,449,181
100069873,3048,360,148
100069897,3204,360,174
100069969,2538,281,142
100069993,3180,388,142
100070137,3690,446,169
100070209,2562,292,135
100070521,2988,368,130
100070713,3558,439,154
100070833,4164,525,169
100070881,2100,228,122
100071121,2760,297,163
100071217,2670,307,138
100071241,2814,316,153
100071289,2976,349,147
100071337,2568,325,103
100071409,2202,226,141
100071481,3192,356,176
100072129,2436,298,108
100072177,3480,408,172
100072393,3024,365,139
100072849,2808,326,142
100073041,2610,306,129
100073089,3246,359,182
100073137,4026,466,205
100073473,3138,371,152
100073689,2040,240,100
100073761,3168,383,145
100073929,2964,351,143
100074097,3648,431,177
100074241,2004,225,109
100074433,3306,399,152
100074649,3180,334,196
100074673,2754,337,122
100075057,3042,381,126
100075537,2772,323,139
100075561,2772,319,143
100075609,2862,344,133
100075777,3294,382,167
100075993,3300,394,156
100076089,2250,256,119
100076233,2964,370,124
100076257,2508,305,113
100076329,2646,306,135
100076617,3210,381,154
100076689,2898,319,164
100077049,2646,328,113
100077073,3756,447,179
100077097,4182,494,203
100077337,3864,464,180
100077673,3084,366,148
100077721,2100,240,110
100077841,2796,332,134
100077961,1866,208,103
100078249,3096,375,141
100078273,2664,299,145
100078441,2154,268,91
100078513,4188,547,151
100078753,3114,355,164
100078801,1926,221,100
100078873,4398,490,243
100078897,2922,320,167
100079449,2682,302,145
100079713,3300,404,146
100079737,3540,437,153
100079761,2610,289,146
100079929,2958,336,157
100080217,3078,333,180
100080289,2706,326,125
100080361,3012,355,147
100080433,2790,333,132
100080529,2940,331,159
100081129,2280,260,120
100081153,2718,330,123
100081561,2886,336,145
100082041,2448,270,138
100082233,3468,426,152
100082401,2526,290,131
100082569,3432,433,139
100082833,3948,484,174
100082929,3114,354,165
100083433,3144,380,144
100083481,2862,322,155
100083673,3252,408,134
100083721,2484,299,115
100083937,3372,392,170
100084129,3024,347,157
100084273,2322,289,98
100084441,2310,276,109
100084489,2892,338,144
100084513,2838,345,128
100084681,3048,335,173
100084849,2670,300,145
100084921,2694,307,142
100084993,3576,443,153
100085233,3300,412,138
100085257,3144,358,166
100085281,2136,250,106
100085353,2742,336,121
100085809,3276,389,157
100086001,1608,185,83
100086097,2892,337,145
100086121,2214,231,138
100086169,2772,346,116
100086193,2910,321,164
100086457,3438,415,158
100086673,2916,333,153
100086697,2952,330,162
100086841,2778,321,142
100087081,2850,339,136
100087201,2562,288,139
100087321,3066,349,162
100087369,2916,340,146
100087417,3144,350,174
100087441,2496,287,129
100087489,3216,401,135
100087633,4344,553,171
100087681,2088,251,97
100087969,2292,273,109
100088041,2820,317,153
100088161,2790,294,171
100088377,4662,537,240
100088641,1776,199,97
100088929,2964,383,111
100089433,5136,543,313
100089673,3204,382,152
100089697,3528,425,163
100089841,3072,366,146
100089961,2742,307,150
100090153,2928,353,135
100090297,3084,365,149
100090321,2496,296,120
100090657,3114,390,129
100090729,2922,335,152
100090801,3474,405,174
100091137,3414,406,163
100091353,4542,529,228
100091473,2784,322,142
100091569,2718,311,142
100091689,2988,334,164
100091809,2760,308,152
100091857,3882,456,191
100091881,2574,307,122
100092049,2514,309,110
100092121,2874,339,140
100092169,2508,300,118
100092217,3396,421,145
100092241,2982,352,145
100092409,2508,279,139
100092697,3366,391,170
100092721,1992,211,121
100093249,2370,267,128
100093417,3720,464,156
100093561,2202,250,117
100093657,3774,457,172
100093681,2124,239,115
100093849,2136,252,104
100094017,2946,366,125
100094041,2682,311,136
100094089,2958,344,149
100094353,3552,437,155
100094377,4272,515,197
100094833,2646,332,109
100094881,3282,399,148
100095049,2748,306,152
100095361,2178,262,101
100095409,2514,307,112
100095577,3426,418,153
100095601,2790,321,144
100095649,2802,320,147
100095769,2856,327,149
100095817,3636,416,190
100095913,2832,349,123
100096393,3462,394,183
100096441,2094,244,105
100096537,3390,410,155
100096753,2958,361,132
100096849,3270,389,156
100096873,3852,460,182
